Sr.No.,Name,Type,WaterRequirements,MinTemp,MaxTemp,CommonPlantDiseases,SoilType,Fertilisers
1,Apple,Fruit,38 per week,21,24,Cedar Apple Rust,Loamy soil,Common granular 20-10-10
2,Starfruit,Fruit,38 to 56 per week,20,35,Pests,Loamy soil,"manganese, iron, zinc, and magnesium"
3,Apricot,Fruit, 8 per week,0,8,Brown Rot,Loamy soil,Nitrogen
4,Avocado,Fruit,18 to 75 per week,16,26,Cankers,"Sandy soil, Loamy soil",Ammoniun nitrate
5,Banana,Fruit,60 per week,15,20,Anthracnose,Loamy soil ,"150-200g N, 40-60g P2O5 and 200-300g K2O"
6,Blueberry,Fruit,30 to 45 per week,2,7,Bacterial Canker,Silty soil,Ammonium sulfate
7,Cherry,Fruit,200 per week,7,10,Black Knot,Sandy soil,Low nitrogen
8,Custard Apple,Fruit,50 to 100 per week,18,30,"Insects, Mit Pests","Sandy soil, Loamy soil","250 g N, 125 g P2O5, and 125 g K2O"
9,Cantaloupe,Fruit,102 per week,15,18,Powdery Mildew,Loamy soil,Sulphur
10,Guava,Fruit,140 per week,4,9,Guava Wilt,Sandy soil,6-6-6-2 fertilizer
11,Dates,Fruit,50 to 60 per week,7,32,Bayoud Disease,"Sandy soil, Loamy soil",Manure
12,Jamun,Fruit,40 per week,28,32,Anthracnose,Loamy soil,Rotten farm yard manure
13,Dragon Fruit,Fruit,80 per week,30,36,Anthracnose,Loamy soil,Bio basis 8-3-9
14,Grape Fruit,Fruit,30 to 40 per week,20,30,Downy Mildew,Loamy soil,Kalibrate liquid
15,Grapes,Fruit,20 to 30 per week,16,20,Pests,Loamy soil,Nitrogen
16,Honeydew Melon,Fruit,40 to 50 per week,15,18,Sudden Wilt,"Sandy soil, Loamy soil",Phosporous and potassium heavy fertilizer
17,Honey Berry,Fruit,80 per week,30,32,Pests,Loamy soil,Nitrogen
18,Kiwi,Fruit,200 per week,1,7,"Phytophthora Crown, Root Rot",Silty soil,High nitrogen fertilizer
